Year;№;Team;M;W;D;L;G;GA;PTS;xG;xGA;xPTS
2015;5;Bayer Leverkusen;17;8;3;6;25;20;27;26.68+1.68;19.85-0.15;30.09+3.09
2015;6;Schalke 04;17;8;3;6;23;23;27;24.77+1.77;24.70+1.70;23.40-3.60
2015;7;Wolfsburg;17;7;5;5;26;21;26;25.85-0.15;20.68-0.32;26.93+0.93
2015;8;Mainz 05;17;7;3;7;23;23;24;24.00+1.00;26.70+3.70;21.18-2.82
2015;9;FC Cologne;17;6;6;5;18;21;24;21.14+3.14;24.35+3.35;22.71-1.29
2015;10;Hamburger SV;17;6;4;7;19;23;22;19.48+0.48;24.48+1.48;20.51-1.49
2015;11;Ingolstadt;17;5;5;7;11;18;20;14.63+3.63;21.04+3.04;18.36-1.64
2015;12;Augsburg;17;5;4;8;21;26;19;25.37+4.37;30.60+4.60;22.25+3.25
2015;13;Darmstadt;17;4;6;7;17;26;18;18.72+1.72;25.45-0.55;18.22+0.22
2015;14;Eintracht Frankfurt;17;4;5;8;21;28;17;17.99-3.01;30.60+2.60;16.95-0.05
2015;15;VfB Stuttgart;17;4;3;10;22;37;15;30.04+8.04;29.22-7.78;25.65+10.65
2015;16;Werder Bremen;17;4;3;10;17;32;15;21.65+4.65;27.38-4.62;20.21+5.21
2015;17;Hannover 96;17;4;2;11;18;29;14;15.32-2.68;32.99+3.99;12.48-1.52
2015;18;Hoffenheim;17;2;7;8;17;25;13;18.78+1.78;29.02+4.02;18.01+5.01
2014;1;Bayern Munich;17;14;3;0;41;4;45;36.38-4.62;9.35+5.35;40.54-4.46
2014;2;Wolfsburg;17;10;4;3;33;17;34;28.28-4.72;17.51+0.51;30.65-3.35
2014;3;Bayer Leverkusen;17;7;7;3;28;20;28;25.10-2.90;15.72-4.28;29.51+1.51
2014;4;Borussia M.Gladbach;17;7;6;4;25;16;27;25.56+0.56;19.86+3.86;27.35+0.35
2014;5;Schalke 04;17;8;3;6;28;21;27;20.60-7.40;23.66+2.66;21.65-5.35
2014;6;Augsburg;17;9;0;8;22;21;27;22.16+0.16;22.41+1.41;23.22-3.78
2014;7;Hoffenheim;17;7;5;5;29;25;26;27.16-1.84;26.73+1.73;23.24-2.76
2014;8;Hannover 96;17;7;3;7;21;26;24;18.36-2.64;23.21-2.79;20.48-3.52
2014;9;Eintracht Frankfurt;17;6;5;6;34;34;23;27.75-6.25;27.19-6.81;23.87+0.87
2014;10;Paderborn;17;4;7;6;21;26;19;20.39-0.61;27.52+1.52;20.25+1.25
2014;11;FC Cologne;17;5;4;8;17;23;19;13.86-3.14;19.53-3.47;19.50+0.50
2014;12;Mainz 05;17;3;9;5;19;23;18;20.37+1.37;23.97+0.97;21.27+3.27
2014;13;Hertha Berlin;17;5;3;9;24;35;18;17.87-6.13;27.26-7.74;16.43-1.57
2014;14;Hamburger SV;17;4;5;8;9;19;17;18.84+9.84;25.75+6.75;18.65+1.65
2014;15;VfB Stuttgart;17;4;5;8;20;32;17;19.77-0.23;27.61-4.39;17.55+0.55
2014;16;Werder Bremen;17;4;5;8;26;39;17;24.40-1.60;28.07-10.93;20.23+3.23
2014;17;Borussia Dortmund;17;4;3;10;18;26;15;23.30+5.30;19.24-6.76;26.52+11.52
2014;18;Freiburg;17;2;9;6;17;25;15;18.89+1.89;24.45-0.55;21.12+6.12
